"kodebarang","nama","stok",
"1.2153519.PHI","BL VD 215/35 - 19 ACCELERA PHI"," 7",
"1.2154017.PHI","BL VD 215/40 - 17 ACCELERA PHI-R"," 3",
"1.2154018.ACCPHI","BL VD 215/40 - 18 ACCELERA PHI","20",
"1.2154516.PHI","BL VD 215/45-16 ACC PHI-R"," 4",
"1.2154517.651SPORT","BL VD 215/45 - 17 ACCELERA 651 SPORT","10",
"1.2154517.FORC.HENA","BL VD 215/45 - 17 FORCEUM HENA"," 1",
"1.2154517.HP1000.","BL ZTEEX 215/45 - 17 HP 1000"," 1",
"1.2154517PHIR","BL VD 215/45 - 17 ACCELERA PHI-R","19",
"1.2154518.PHI","BL VD 215/45 - 18 ACCELERA PHI"," 5",
"1.2155017","BL VD 215/50 - 17 ACCELERA PHI"," 8",
"1.2155017.HP1000","BL ZTEEX 215/50 - 17 HP 1000","11",
"1.2155018.PHIR","BL VD 215/50 - 18 ACCELERA PHI-R"," 6",
"1.2155516.ACC","BL VD 215/55 - 16 ACCELERA PHI-R"," 4",
"1.2155517.PHI","BL VD 215/55 - 17 ACCELERA PHI-R","15",
"1.2155518.ST68","BL VD 215/55 - 18 ACC IOTA ST68"," 3",
"1.2156016.ECOPLUS","BL VD 215/60 - 16 ACCELERA ECO PLUSH"," 9",
"1.2156017.IOTA","BL VD 215/60 - 17 ACC IOTA ST68","16",
"1.2156515.ECOPLUSH","BL VD 215/65 - 15 ACCELERA ECO PLUSH"," 4",
"1.2156516.ECOPLUS","BL VD 215/65 - 16 ACCELERA ECO PLUSH"," 3",
"1.2157015.ECOPLUS","BL VD 215/70 - 15 ACCELERA ECO PLUSH"," 4",
"1.2157515.AT","BL VD 215/75 - 15 OMIKRON AT"," 4",
"1.2253020.PHI","BL VD 225/30 - 20 ACCELERA PHI"," 7",
"1.2253518.ACC.PHI","BL VD 225/35 - 18 ACC PHI-R"," 2",
"1.2253519.ACCPHI","BL VD 225/35 - 19 ACCELERA PHI","18",
"1.2253520.PHI","BL VD 225/35 - 20 ACCELERA PHI"," 6",
"1.2254018.651 SPORT","BL VD 225/40 - 18 ACC 651SPORT"," 4",
"1.2254018.HP1000.","BL ZTEEX 225/40 - 18 HP 1000"," 1",
"1.2254018.PHI","BL VD 225/40 - 18 ACCELERA PHI","11",
"1.2254019.ACCPHI","BL VD 225/40 - 19 ACCELERA PHI"," 2",
"1.2254518.ACCPHI","BL VD 225/45 - 18 ACCELERA PHI","18",
"1.2254519.PHIR","BL VD 225/45 - 19 ACCELERA PHI-R"," 2",
"1.2255016.PHI","BL VD 225/50 - 16 ACCELERA PHI-R"," 5",
"1.2255017.PHI","BL VD 225/50 - 17 ACCELERA PHI-R"," 4",
"1.2255018.HENA","BL VD 225/50 - 18 FORCEUM HENA","17",
"1.2255018.HP1000.","BL ZTEEX 225/50 - 18 HP 1000","10",
"1.2255018.PHIR","BL VD 225/50 - 18 ACCELERA PHI-R","12",
"1.2255018.X BOOST","BL VD 225/50-18 ACC X-BOOST"," 4",
"1.2255516.PHIR","BL VD 225/55 - 16 ACCELERA PHI-R"," 4",
"1.2255517.PHI","BL VD 225/55 - 17 ACCELERA PHI"," 8",
"1.2255518.ST68","BL VD 225/55 - 18 ACCELERA IOTA ST68"," 5",
"1.2255519.IOTA ST68","BL VD 225/55 - 19 ACCELERA IOTA ST68"," 8",
"1.2256015.ECOPLUSH","BL VD 225/60 - 15 ACCELERA ECO PLUSH","22",
"1.2256016.ACCELERA","BL VD 225/60 - 16 ACCELERA ECO PLUSH"," 5",
"1.2256517.PENTA","BL VD 225/65 - 17 FORCEUM PENTA"," 4",
"1.2257516.OMIKRONHT","BL VD 225/75 - 16 ACCELERA OMIKRON H/T"," 6",
"1.2258017.5.XJE4MX","BL MC 225/80 - 17.5 XJE4MX","100",
"1.2353519.651","BL VD 235/35-19 ACC 651SPORT"," 4",
"1.2353519.ACCPHI","BL VD 235/35 - 19 ACCELERA PHI","13",
"1.2353520.ACC","BL VD 235/35 - 20 ACCELERA PHI"," 6",
"1.2354018.ACC","BL VD 235/40 - 18 ACCELERA PHI"," 4",
"1.2354018.ACC651SPORT","BL VD 235/40 - 18 ACCELERA 651SPORT"," 4",
"1.2354019.PHI","BL VD 235/40 - 19 ACCELERA PHI"," 4",
"1.2354517.ACC","BL VD 235/45 - 17 ACC PHI-R"," 4",
"1.2354518.ACCE","BL VD 235/45 - 18 ACCELERA PHI R ","13",
"1.2354519.PHI","BL VD 235/45 - 19 ACCELERA PHI"," 2",
"1.2355018.FORC OCTA","BL VD 235/50 - 18 FORCEUM OCTA"," 4",
"1.2355018.PHI","BL VD 235/50 - 18 ACCELERA PHI-R","17",
"1.2355019.IOTA","BL VD 235/50-19 ACC IOTA ST-68"," 2",
"1.2355517.ACC","BL VD 235/55 - 17 ACCELERA PHI"," 8",
"1.2355518.FORHEPTA","BL VD 235/55 - 18 FORCEUM HEPTAGON"," 4",
"1.2355518.IOTA","BL VD 235/55 - 18 ACC IOTA ST68","13",
"1.2356016.ACCELERA PHI","BL VD 235/60 - 16 ACCELERA PHI","12",
"1.2356018.IOTA ","BL VD 235/60 - 18 IOTA "," 8",
"1.2356018.ST68","BL VD 235/60 - 18 IOTA ST 68"," 3",
"1.2357015.ATZ","BL VD 235/70 - 15 FORCEUM ATZ"," 5",
"1.2357015.OMIKRON","BL VD 235/70 - 15 ACC OMIKRON AT"," 5",
"1.2357016.FORCEUM.ATZ","BL VD 235/70 - 16 FORCEUM ATZ","10",
"1.2357515.ACCAT","BL VD 235/75 - 15 ACC OMIKRON AT"," 4",
"1.2357515.ACC.MT","BL VD 235/75 - 15 ACCELERA MT"," 6",
"1.2357515.FOR.ATZ","BL VD 235/75 - 15 FORCEUM ATZ"," 8",
"1.2357515.FORMT","BL VD 235/75 - 15 FORC MT 08"," 7",
"1.2358516.OMI.AT","BL VD 235/85 - 16 OMIKRON AT"," 5",
"1.2453020.PHI","BL VD 245/30 - 20 ACCELERA PHI"," 2",
"1.2453021.PHI","BL VD 245/30 - 21 ACCELERA PHI-R"," 1",
"1.2453518.ACC.PHI","BL VD 245/35 - 18 ACCELERA PHI-R"," 7",
"1.2453519.PHI","BL VD 245/35 - 19 ACCELERA PHI"," 7",
"1.2453520.PHI","BL VD 245/35 - 20 ACCELERA PHI-R","10",
"1.2454017.PHIR","BL VD 245/40-17 ACC PHIR"," 0",
"1.2454018.PHI","BL VD 245/40 - 18 ACCELERA PHI-R"," 5",
"1.2454019.PHI","BL VD 245/40 - 19 ACCELERA PHI"," 9",
"1.2454020.PHI","BL VD 245/40 - 20 ACCELERA PHI-R","11",
"1.2454517.ACCE.PHI","BL VD 245/45 - 17 ACCELERA PHI"," 4",
"1.2454518.PHI","BL VD 245/45 - 18 ACCELERA PHI R"," 9",
"1.2454519.PHI","BL VD 245/45 - 19 ACCELERA PHI"," 6",
"1.2454520.ACCELERA","BL VD 245/45 - 20 ACCELERA PHI"," 2",
"1.2455018.PHIR","BL VD 245/50 - 18 ACCELERA PHI R"," 2",
"1.2455020.IOTAST68","BL VD 245/50 - 20 ACCELERA IOTA ST68","10",
"1.2457016.AT","BL VD 245/70 - 16 ACC OMIKRON A/T"," 4",
"1.2553020","BL VD 255/30 - 20 ACCELERA PHI"," 3",
"1.2553022.PHI","BL VD 255/30 - 22 ACCELERA PHI"," 4",
"1.2553518.ACCPHI","BL VD 255/35 - 18 ACCELERA PHI"," 4",
"1.2553519.ACCPHI","BL VD 255/35 - 19 ACCELERA PHI-R"," 4",
